Distance Traveled (m),Odometer measure (m),GPS measure (m),ZED camera measure (m)
127.88,115.0904393,127.7751932,145.717
128.8,116.4444444,127.7751932,146.794
129.72,117.121447,130.1041834,147.973
130.64,118.4754522,130.1041834,149.123
131.56,119.1524548,132.5685162,150.182
132.48,120.5064599,132.6634388,151.172
133.4,121.1834625,132.7583613,152.389
134.32,122.5374677,135.2661857,153.302
135.24,123.2144703,135.2661857,154.221
136.16,123.8914729,137.7305186,155.386
137.08,125.245478,137.7305186,156.332
138,125.9224806,139.8338619,157.524
138.92,126.5994832,139.8338619,158.712
139.84,127.9534884,139.8338619,159.772
140.76,129.3074935,141.902651,160.679
141.68,129.9844961,141.902651,161.639
142.6,131.3385013,144.1348452,162.564
143.52,132.0155039,144.1348452,163.654
144.44,133.369509,146.3670394,164.567
145.36,134.0465116,146.461962,165.765
146.28,135.4005168,148.4417288,166.786
147.2,136.0775194,148.4417288,167.964
148.12,136.754522,150.4055019,168.912
149.04,138.1085271,150.4055019,170.029
149.96,139.4625323,152.5763041,171.01
150.88,140.1395349,152.5763041,172.068
151.8,140.8165375,154.6297929,173.099
152.72,141.4935401,154.6297929,174.267
153.64,142.1705426,154.6297929,175.472
154.56,142.8475452,156.8396748,176.398
155.48,143.5245478,156.8396748,177.548
156.4,144.878553,156.8396748,178.593
157.32,146.2325581,158.7309933,179.621
158.24,146.9095607,158.7309933,180.737
159.16,147.5865633,160.9429128,181.652
160.08,148.9405685,160.9429128,182.811
161,149.6175711,163.0970484,183.821
161.92,150.9715762,163.0970484,185.041
162.84,151.6485788,163.0970484,186.18
163.76,153.002584,165.4739061,187.186
164.68,153.6795866,165.4739061,188.084
165.6,154.3565891,167.683788,189.208
166.52,155.7105943,167.683788,190.287
167.44,156.3875969,167.683788,191.186
168.36,157.7416021,170.1149916,192.347
169.28,158.4186047,170.1149916,193.357
170.2,159.0956072,172.4918493,194.554
171.12,160.4496124,172.5867719,195.526
172.04,161.126615,175.1231764,196.564
172.96,162.4806202,175.1231764,197.715
173.88,163.1576227,175.1231764,198.652
174.8,163.8346253,177.5856804,199.86
175.72,164.5116279,177.5856804,201.079
176.64,165.1886305,177.5856804,202.206
177.56,165.8656331,180.0113185,203.391
178.48,167.2196382,180.0113185,204.395
179.4,167.8966408,182.2993262,205.46
180.32,169.250646,182.2993262,206.407
181.24,169.9276486,182.2993262,207.599
182.16,170.6046512,184.9656195,208.502
183.08,171.9586563,184.9656195,209.563
184,173.3126615,187.5197242,210.732
184.92,173.9896641,187.5197242,211.714
185.84,174.6666667,189.8946857,212.692
186.76,175.3436693,189.9896083,213.651
187.68,176.0206718,190.0845308,214.703
188.6,176.6976744,191.9639015,215.823
189.52,178.0516796,192.0588241,216.814
190.44,178.7286822,192.1537466,218.014
191.36,180.0826873,194.2592307,218.994
192.28,180.7596899,194.2592307,219.928
193.2,181.4366925,196.7670551,221.113
194.12,182.1136951,196.7670551,222.22
195.04,182.7906977,196.7670551,223.272
195.96,183.4677003,196.7670551,224.33
196.88,184.1447028,199.2730825,225.489
197.8,184.8217054,199.2730825,226.458
198.72,185.498708,199.2730825,227.469
199.64,186.1757106,201.8985106,228.45
200.56,187.5297158,201.8985106,229.371
201.48,188.2067183,201.8985106,230.391
202.4,188.8837209,204.6364957,231.318
203.32,190.2377261,204.6364957,232.321
204.24,190.9147287,204.6364957,233.541
205.16,192.2687339,207.0228117,234.756
206.08,192.9457364,207.0228117,235.726
207,194.2997416,209.5306361,236.646
207.92,195.6537468,209.5306361,237.603
208.84,196.3307494,212.2154514,238.567
209.76,197.0077519,212.2154514,239.737
210.68,198.3617571,212.2154514,240.879
211.6,200.3927649,214.7232758,241.951
212.52,201.0697674,217.34011,243.05
213.44,202.4237726,217.34011,244.281
214.36,203.1007752,217.34011,245.395
215.28,203.7777778,220.2067083,246.431
216.2,205.1317829,220.2067083,247.403
217.12,205.8087855,220.2067083,248.567
218.04,206.4857881,222.8235425,249.644
218.96,207.8397933,222.918465,250.734
219.88,208.5167959,223.0133876,251.715
220.8,209.870801,225.6146813,252.818
